iter	Passed	Remaining
225	1906	6529
226	1915	6521
227	1924	6514
228	1932	6505
229	1940	6496
230	1956	6512
231	1965	6505
232	1974	6498
233	1982	6490
234	1991	6483
235	2000	6474
236	2009	6467
237	2017	6459
238	2026	6451
239	2034	6443
240	2043	6434
241	2051	6426
242	2059	6417
243	2068	6408
244	2076	6400
245	2085	6391
246	2093	6383
247	2102	6375
248	2111	6367
249	2119	6359
250	2128	6351
251	2137	6343
252	2145	6334
253	2153	6323
254	2161	6313
255	2168	6301
256	2176	6291
257	2184	6281
258	2192	6272
259	2202	6269
260	2210	6259
261	2218	6248
262	2226	6239
263	2234	6230
264	2242	6221
265	2250	6209
266	2258	6199
267	2266	6189
268	2274	6179
269	2281	6169
270	2290	6160
271	2298	6152
272	2306	6142
273	2315	6134
274	2323	6124
275	2331	6115
276	2338	6103
277	2346	6094
278	2354	6085
279	2362	6076
280	2371	6066
281	2379	6057
282	2387	6050
283	2396	6042
284	2406	6037
285	2415	6031
286	2424	6023
287	2433	6015
288	2445	6015
289	2455	6011
290	2464	6005
291	2473	5998
292	2482	5990
293	2491	5983
294	2501	5977
295	2511	5972
296	2522	5970
297	2532	5966
298	2542	5960
299	2553	5957
300	2563	5952
301	2573	5947
302	2583	5941
303	2592	5935
304	2601	5929
305	2611	5921
306	2620	5914
307	2629	5908
308	2638	5901
309	2647	5893
310	2656	5885
311	2665	5878
312	2674	5870
313	2682	5860
314	2694	5860
315	2703	5852
316	2712	5845
317	2722	5838
318	2731	5830
319	2739	5821
320	2748	5813
321	2757	5806
322	2766	5799
323	2776	5792
324	2785	5784
325	2794	5777
326	2803	5769
327	2812	5762
328	2822	5755
329	2831	5748
330	2840	5740
331	2849	5733
332	2857	5724
333	2866	5716
334	2875	5708
335	2885	5701
336	2893	5692
337	2903	5686
338	2913	5680
339	2923	5674
340	2931	5665
341	2950	5676
342	2981	5710
343	2993	5709
344	3002	5700
345	3011	5692
346	3019	5682
347	3028	5673
348	3037	5665
349	3046	5656
350	3054	5647
351	3063	5638
352	3071	5629
353	3079	5620
354	3088	5611
355	3097	5602
356	3105	5593
357	3113	5583
358	3121	5574
359	3130	5565
360	3138	5555
361	3147	5547
362	3156	5539
363	3164	5529
364	3173	5520
365	3181	5511
366	3190	5502
367	3200	5496
368	3208	5487
369	3217	5478
370	3225	5469
371	3234	5459
372	3242	5450
373	3250	5441
374	3259	5432
375	3268	5423
376	3276	5414
377	3285	5405
378	3293	5396
379	3302	5388
380	3311	5380
381	3319	5370
382	3328	5361
383	3337	5353
384	3346	5345
385	3354	5335
386	3363	5327
387	3372	5318
388	3380	5310
389	3389	5301
390	3397	5291
391	3406	5283
392	3415	5274
393	3423	5266
394	3432	5257
395	3442	5251
396	3452	5243
397	3460	5233
398	3468	5223
399	3476	5214
400	3484	5204
401	3491	5194
402	3500	5184
403	3508	5175
404	3515	5164
405	3523	5154
406	3531	5145
407	3538	5135
408	3547	5125
409	3555	5116
410	3563	5106
411	3571	5097
412	3580	5088
413	3588	5079
414	3596	5069
415	3604	5059
416	3612	5050
417	3620	5041
418	3630	5034
419	3639	5025
420	3648	5017
421	3656	5008
422	3665	5000
423	3675	4992
424	3684	4985
425	3699	4984
426	3709	4977
427	3719	4971
428	3729	4963
429	3737	4953
430	3746	4945
431	3755	4937
432	3764	4929
433	3774	4923
434	3783	4913
435	3792	4905
436	3800	4896
437	3809	4888
438	3818	4879
439	3827	4871
440	3836	4862
441	3845	4854
442	3853	4845
443	3863	4837
444	3871	4828
445	3879	4819
446	3888	4810
447	3896	4800
448	3905	4792
449	3913	4782
450	3921	4773
451	3929	4764
452	3938	4755
453	3948	4748
454	3957	4740
455	3966	4732
456	3975	4723
457	3982	4713
458	3991	4704
459	3999	4695
460	4008	4686
461	4016	4677
462	4025	4669
463	4034	4660
464	4043	4652
465	4052	4643
466	4060	4634
467	4070	4626
468	4078	4617
469	4087	4609
470	4097	4602
471	4107	4595
472	4116	4586
473	4126	4579
474	4136	4571
475	4145	4564
476	4155	4556
477	4165	4548
478	4175	4542
479	4184	4532
480	4200	4531
481	4210	4524
482	4219	4516
483	4229	4508
484	4238	4500
485	4246	4491
486	4255	4483
487	4265	4474
488	4274	4466
489	4283	4458
490	4293	4451
491	4304	4444
492	4313	4435
493	4323	4428
494	4331	4419
495	4342	4412
496	4351	4404
497	4361	4396
498	4372	4389
499	4381	4381
500	4394	4376
501	4409	4374
502	4422	4369
503	4439	4368
504	4452	4364
505	4466	4360
506	4479	4355
507	4493	4352
508	4505	4346
509	4518	4341
510	4531	4336
511	4546	4333
512	4560	4329
513	4573	4324
514	4586	4319
515	4600	4315
516	4615	4311
517	4629	4307
518	4643	4303
519	4657	4299
520	4670	4294
521	4696	4300
522	4706	4292
523	4717	4285
524	4728	4278
525	4740	4271
526	4752	4265
527	4766	4260
528	4779	4255
529	4793	4250
530	4807	4245
531	4820	4240
532	4836	4237
533	4851	4233
534	4867	4230
535	4884	4228
536	4901	4226
537	4918	4223
538	4945	4229
539	4963	4227
540	4980	4225
541	4994	4220
542	5008	4215
543	5022	4209
544	5037	4205
545	5052	4201
546	5068	4197
547	5084	4193
548	5101	4190
549	5119	4188
550	5139	4187
551	5157	4185
552	5175	4183
553	5202	4188
554	5219	4185
555	5233	4179
556	5247	4173
557	5261	4167
558	5276	4162
559	5291	4157
560	5307	4153
561	5325	4150
562	5342	4147
563	5360	4144
564	5383	4144
565	5403	4143
566	5422	4140
567	5453	4147
568	5468	4141
569	5481	4135
570	5495	4128
571	5509	4122
572	5523	4115
573	5538	4110
574	5558	4108
575	5578	4106
576	5597	4103
577	5617	4101
578	5636	4098
579	5653	4093
580	5669	4088
581	5695	4090
582	5711	4085
583	5724	4077
584	5738	4070
585	5751	4063
586	5766	4056
587	5780	4050
588	5794	4043
589	5808	4036
590	5822	4029
591	5836	4022
592	5852	4016
593	5867	4010
594	5882	4004
595	5897	3997
596	5912	3991
597	5926	3983
598	5946	3980
599	5960	3973
600	5974	3966
601	5986	3957
602	5999	3949
603	6011	3941
604	6024	3933
605	6037	3925
606	6050	3917
607	6063	3909
608	6077	3901
609	6091	3894
610	6105	3886
611	6119	3879
612	6133	3871
613	6146	3863
614	6159	3855
615	6172	3847
616	6190	3842
617	6203	3834
618	6216	3826
619	6228	3817
620	6241	3808
621	6253	3800
622	6266	3792
623	6279	3784
624	6292	3775
625	6304	3766
626	6316	3757
627	6328	3748
628	6341	3740
629	6354	3731
630	6368	3724
631	6382	3716
632	6395	3707
633	6407	3699
634	6419	3690
635	6438	3685
636	6450	3675
637	6460	3665
638	6470	3655
639	6480	3645
640	6490	3635
641	6502	3625
642	6513	3616
643	6525	3607
644	6536	3597
645	6548	3588
646	6560	3579
647	6572	3570
648	6585	3561
649	6597	3552
650	6610	3543
651	6623	3535
652	6635	3525
653	6648	3517
654	6662	3509
655	6674	3500
656	6692	3494
657	6705	3485
658	6717	3476
659	6731	3467
660	6744	3458
661	6756	3449
662	6768	3440
663	6781	3431
664	6793	3422
665	6804	3412
666	6813	3401
667	6825	3392
668	6837	3383
669	6849	3373
670	6861	3364
671	6874	3355
672	6886	3345
673	6898	3336
674	6910	3327
675	6924	3318
676	6941	3311
677	6954	3302
678	6967	3293
679	6979	3284
680	6992	3275
681	7004	3266
682	7018	3257
683	7029	3247
684	7042	3238
685	7055	3229
686	7068	3220
687	7081	3211
688	7093	3201
689	7103	3191
690	7116	3182
691	7128	3172
692	7140	3163
693	7151	3153
694	7163	3143
695	7176	3134
696	7194	3127
697	7206	3117
698	7218	3108
699	7230	3098
700	7244	3089
701	7256	3080
702	7269	3071
703	7282	3061
704	7295	3052
705	7309	3043
706	7326	3036
707	7343	3028
708	7360	3020
709	7377	3013
710	7393	3005
711	7407	2996
712	7420	2986
713	7440	2980
714	7453	2970
715	7466	2961
716	7479	2952
717	7493	2943
718	7507	2934
719	7520	2924
720	7533	2915
721	7546	2905
722	7559	2896
723	7572	2886
724	7585	2877
725	7598	2867
726	7611	2858
727	7625	2849
728	7639	2839
729	7655	2831
730	7673	2823
731	7699	2818
732	7717	2810
733	7738	2804
734	7772	2802
735	7789	2793
736	7806	2785
737	7829	2779
738	7853	2773
739	7871	2765
740	7885	2756
741	7900	2747
742	7913	2737
743	7931	2729
744	7946	2719
745	7960	2710
746	7974	2700
747	7988	2691
748	8003	2682
749	8019	2673
750	8034	2663
751	8047	2654
752	8060	2644
753	8074	2634
754	8087	2624
755	8100	2614
756	8114	2604
757	8128	2595
758	8141	2585
759	8158	2576
760	8184	2570
761	8204	2562
762	8222	2554
763	8239	2545
764	8253	2535
765	8269	2526
766	8282	2516
767	8297	2506
768	8311	2496
769	8324	2486
770	8338	2476
771	8352	2466
772	8367	2457
773	8380	2446
774	8393	2436
775	8406	2426
776	8418	2416
777	8437	2407
778	8450	2397
779	8463	2387
780	8477	2377
781	8492	2367
782	8507	2357
783	8520	2347
784	8535	2337
785	8548	2327
786	8561	2317
787	8575	2307
788	8589	2297
789	8603	2287
790	8616	2276
791	8631	2266
792	8646	2257
793	8661	2247
794	8683	2239
795	8699	2229
796	8761	2231
797	8789	2224
798	8808	2215
799	8826	2206
800	8843	2197
801	8860	2187
802	8877	2177
803	8892	2167
804	8907	2157
805	8929	2149
806	8946	2139
807	8961	2129
808	8975	2119
809	8989	2108
810	9003	2098
811	9016	2087
812	9029	2076
813	9043	2066
814	9057	2055
815	9070	2045
816	9084	2034
817	9096	2023
818	9110	2013
819	9122	2002
820	9136	1991
821	9149	1981
822	9161	1970
823	9178	1960
824	9192	1950
825	9207	1939
826	9221	1929
827	9235	1918
828	9249	1907
829	9266	1897
830	9284	1888
831	9297	1877
832	9312	1866
833	9326	1856
834	9339	1845
835	9354	1835
836	9370	1824
837	9386	1814
838	9402	1804
839	9428	1795
840	9443	1785
841	9457	1774
842	9474	1764
843	9491	1754
844	9506	1743
845	9520	1733
846	9535	1722
847	9550	1711
848	9564	1701
849	9579	1690
850	9595	1680
851	9615	1670
852	9631	1659
853	9647	1649
854	9663	1638
855	9686	1629
856	9702	1619
857	9718	1608
858	9733	1597
859	9747	1586
860	9759	1575
861	9832	1574
862	9953	1580
863	9980	1571
864	10007	1561
865	10049	1555
866	10073	1545
867	10099	1535
868	10126	1526
869	10142	1515
870	10155	1504
871	10173	1493
872	10188	1482
873	10203	1470
874	10219	1459
875	10234	1448
876	10249	1437
877	10265	1426
878	10280	1415
879	10296	1404
880	10311	1392
881	10328	1381
882	10342	1370
883	10356	1358
884	10369	1347
885	10381	1335
886	10394	1324
887	10407	1312
888	10428	1302
889	10442	1290
890	10456	1279
891	10471	1267
892	10487	1256
893	10501	1245
894	10515	1233
895	10529	1222
896	10543	1210
897	10557	1199
898	10572	1187
899	10587	1176
900	10602	1165
901	10618	1153
902	10633	1142
903	10645	1130
904	10658	1118
905	10674	1107
906	10687	1095
907	10701	1084
908	10717	1072
909	10730	1061
910	10746	1049
911	10761	1038
912	10776	1026
913	10791	1015
914	10805	1003
915	10819	992
916	10833	980
917	10847	968
918	10860	957
919	10874	945
920	10886	933
921	10901	922
922	10921	911
923	10941	899
924	10954	888
925	10967	876
926	10980	864
927	10992	852
928	11006	841
929	11020	829
930	11035	817
931	11048	806
932	11061	794
933	11074	782
934	11086	770
935	11099	758
936	11112	747
937	11126	735
938	11139	723
939	11152	711
940	11166	700
941	11184	688
942	11197	676
943	11210	665
944	11221	653
945	11232	641
946	11242	629
947	11253	617
948	11265	605
949	11277	593
950	11288	581
951	11300	569
952	11312	557
953	11324	546
954	11336	534
955	11349	522
956	11362	510
957	11373	498
958	11385	486
959	11397	474
960	11409	463
961	11426	451
962	11438	439
963	11451	427
964	11464	415
965	11475	403
966	11488	392
967	11501	380
968	11514	368
969	11527	356
970	11540	344
971	11552	332
972	11565	320
973	11578	309
974	11590	297
975	11603	285
976	11616	273
977	11629	261
978	11642	249
979	11655	237
980	11676	226
981	11687	214
982	11697	202
983	11707	190
984	11716	178
985	11726	166
986	11737	154
987	11747	142
988	11758	130
989	11768	118
990	11780	106
991	11792	95
992	11803	83
993	11815	71
994	11827	59
995	11839	47
996	11851	35
997	11864	23
998	11877	11
999	11892	0
